cycle	date	state	hpi	year	month	type
1975M04	4/1/1975	OR	21.09049635	1975	4	State
1975M04	4/1/1975	PA	29.52394701	1975	4	State
1975M04	4/1/1975	RI	21.32527894	1975	4	State
1975M04	4/1/1975	SC	31.66628259	1975	4	State
1975M04	4/1/1975	SD	36.56162886	1975	4	State
1975M04	4/1/1975	TN	32.47379648	1975	4	State
1975M04	4/1/1975	TX	34.37055549	1975	4	State
1975M04	4/1/1975	UT	25.48856944	1975	4	State
1975M04	4/1/1975	VA	28.54724368	1975	4	State
1975M04	4/1/1975	VT	27.2752773	1975	4	State
1975M04	4/1/1975	WA	17.77050614	1975	4	State
1975M04	4/1/1975	WI	29.19543373	1975	4	State
1975M04	4/1/1975	WV	44.08151679	1975	4	State
1975M04	4/1/1975	WY	33.08341126	1975	4	State
1975M04	4/1/1975	US.NSA	24.25333725	1975	4	US
1975M04	4/1/1975	US.SA	24.14864923	1975	4	US
1975M05	5/1/1975	AK	36.61757829	1975	5	State
1975M05	5/1/1975	AL	36.41117025	1975	5	State
1975M05	5/1/1975	AR	37.86769417	1975	5	State
1975M05	5/1/1975	AZ	30.47191445	1975	5	State
1975M05	5/1/1975	CA	16.49482265	1975	5	State
1975M05	5/1/1975	CO	20.48151808	1975	5	State
1975M05	5/1/1975	CT	25.75533442	1975	5	State
1975M05	5/1/1975	DC	18.90115988	1975	5	State
1975M05	5/1/1975	DE	27.56201931	1975	5	State
1975M05	5/1/1975	FL	36.4237873	1975	5	State
1975M05	5/1/1975	GA	30.60593042	1975	5	State
1975M05	5/1/1975	HI	26.79834187	1975	5	State
1975M05	5/1/1975	IA	34.60851992	1975	5	State
1975M05	5/1/1975	ID	31.89667587	1975	5	State
1975M05	5/1/1975	IL	26.4460975	1975	5	State
1975M05	5/1/1975	IN	33.69075599	1975	5	State
1975M05	5/1/1975	KS	35.07577192	1975	5	State
1975M05	5/1/1975	KY	31.76528444	1975	5	State
1975M05	5/1/1975	LA	34.93782278	1975	5	State
1975M05	5/1/1975	MA	15.57830281	1975	5	State
1975M05	5/1/1975	MD	26.94443032	1975	5	State
1975M05	5/1/1975	ME	28.16796349	1975	5	State
1975M05	5/1/1975	MI	25.34347295	1975	5	State
1975M05	5/1/1975	MN	26.31141097	1975	5	State
1975M05	5/1/1975	MO	34.32289542	1975	5	State
1975M05	5/1/1975	MS	41.61036652	1975	5	State
1975M05	5/1/1975	MT	28.26803562	1975	5	State
1975M05	5/1/1975	NC	29.14074731	1975	5	State
1975M05	5/1/1975	ND	40.10537245	1975	5	State
1975M05	5/1/1975	NE	31.16397373	1975	5	State
1975M05	5/1/1975	NH	23.1755786	1975	5	State
1975M05	5/1/1975	NJ	22.28590779	1975	5	State
1975M05	5/1/1975	NM	29.1721998	1975	5	State
1975M05	5/1/1975	NV	29.34243985	1975	5	State
1975M05	5/1/1975	NY	23.29317302	1975	5	State
1975M05	5/1/1975	OH	30.9960981	1975	5	State
1975M05	5/1/1975	OK	37.79642816	1975	5	State
1975M05	5/1/1975	OR	21.4951821	1975	5	State
1975M05	5/1/1975	PA	29.76915177	1975	5	State
1975M05	5/1/1975	RI	21.7438425	1975	5	State
1975M05	5/1/1975	SC	31.79065079	1975	5	State
1975M05	5/1/1975	SD	36.18110375	1975	5	State
1975M05	5/1/1975	TN	32.62372862	1975	5	State
1975M05	5/1/1975	TX	34.61995713	1975	5	State
1975M05	5/1/1975	UT	25.64912566	1975	5	State
1975M05	5/1/1975	VA	28.66875783	1975	5	State
1975M05	5/1/1975	VT	27.47071529	1975	5	State
1975M05	5/1/1975	WA	17.89426148	1975	5	State
1975M05	5/1/1975	WI	29.47563633	1975	5	State
1975M05	5/1/1975	WV	45.20313557	1975	5	State
1975M05	5/1/1975	WY	33.59674663	1975	5	State
1975M05	5/1/1975	US.NSA	24.45817752	1975	5	US
1975M05	5/1/1975	US.SA	24.30275121	1975	5	US
1975M06	6/1/1975	AK	37.25123213	1975	6	State
1975M06	6/1/1975	AL	36.57956865	1975	6	State
1975M06	6/1/1975	AR	38.11284875	1975	6	State
1975M06	6/1/1975	AZ	30.4100815	1975	6	State
1975M06	6/1/1975	CA	16.61077443	1975	6	State
1975M06	6/1/1975	CO	20.62390573	1975	6	State
1975M06	6/1/1975	CT	25.71043417	1975	6	State
1975M06	6/1/1975	DC	19.22645533	1975	6	State
1975M06	6/1/1975	DE	27.83478108	1975	6	State
1975M06	6/1/1975	FL	34.81226016	1975	6	State
1975M06	6/1/1975	GA	30.65246502	1975	6	State
1975M06	6/1/1975	HI	26.95134965	1975	6	State
1975M06	6/1/1975	IA	34.72880068	1975	6	State
1975M06	6/1/1975	ID	31.91024495	1975	6	State
1975M06	6/1/1975	IL	26.54723066	1975	6	State
1975M06	6/1/1975	IN	33.72272165	1975	6	State
1975M06	6/1/1975	KS	35.37014909	1975	6	State
1975M06	6/1/1975	KY	32.14402337	1975	6	State
1975M06	6/1/1975	LA	35.02288517	1975	6	State
1975M06	6/1/1975	MA	15.59901525	1975	6	State
1975M06	6/1/1975	MD	27.10631391	1975	6	State
1975M06	6/1/1975	ME	28.21020983	1975	6	State
1975M06	6/1/1975	MI	25.29188386	1975	6	State
1975M06	6/1/1975	MN	26.60244985	1975	6	State
