per_idx	cat_idx	dt_idx	et_idx	geo_idx	is_adj	val
21	4	1	0	3	1	292
21	4	1	0	4	1	384
21	4	1	0	5	1	227
21	4	2	0	1	1	865
21	5	1	0	1	0	96.9
21	5	1	0	2	0	18.8
21	5	1	0	3	0	27.9
21	5	1	0	4	0	32.1
21	5	1	0	5	0	18.2
21	5	2	0	1	0	76.7
22	1	1	0	1	1	972
22	1	1	0	2	1	196
22	1	1	0	3	1	232
22	1	1	0	4	1	263
22	1	1	0	5	1	281
22	1	2	0	1	1	711
22	1	3	0	1	1	203
22	2	1	0	1	0	81.6
22	2	1	0	2	0	17.4
22	2	1	0	3	0	20.6
22	2	1	0	4	0	21.3
22	2	1	0	5	0	22.3
22	2	2	0	1	0	59.6
22	2	3	0	1	0	17
22	4	1	0	1	1	1246
22	4	1	0	2	1	286
22	4	1	0	3	1	272
22	4	1	0	4	1	386
22	4	1	0	5	1	302
22	4	2	0	1	1	922
22	5	1	0	1	0	110.4
22	5	1	0	2	0	25.2
22	5	1	0	3	0	25.9
22	5	1	0	4	0	32.8
22	5	1	0	5	0	26.5
22	5	2	0	1	0	85.8
23	1	1	0	1	1	979
23	1	1	0	2	1	205
23	1	1	0	3	1	223
23	1	1	0	4	1	274
23	1	1	0	5	1	277
23	1	2	0	1	1	707
23	1	3	0	1	1	201
23	2	1	0	1	0	73.9
23	2	1	0	2	0	17
23	2	1	0	3	0	16.6
23	2	1	0	4	0	20.3
23	2	1	0	5	0	20
23	2	2	0	1	0	51.8
23	2	3	0	1	0	16.7
23	4	1	0	1	1	1246
23	4	1	0	2	1	302
23	4	1	0	3	1	277
23	4	1	0	4	1	391
23	4	1	0	5	1	276
23	4	2	0	1	1	949
23	5	1	0	1	0	92.8
23	5	1	0	2	0	23
23	5	1	0	3	0	19.9
23	5	1	0	4	0	29.2
23	5	1	0	5	0	20.7
23	5	2	0	1	0	69.4
24	1	1	0	1	1	951
24	1	1	0	2	1	169
24	1	1	0	3	1	238
24	1	1	0	4	1	280
24	1	1	0	5	1	264
24	1	2	0	1	1	688
24	1	3	0	1	1	198
24	2	1	0	1	0	58.7
24	2	1	0	2	0	11.2
24	2	1	0	3	0	12.3
24	2	1	0	4	0	17.2
24	2	1	0	5	0	17.9
24	2	2	0	1	0	38.7
24	2	3	0	1	0	15.6
24	4	1	0	1	1	1063
24	4	1	0	2	1	145
24	4	1	0	3	1	247
24	4	1	0	4	1	352
24	4	1	0	5	1	319
24	4	2	0	1	1	841
24	5	1	0	1	0	64.2
24	5	1	0	2	0	8.5
24	5	1	0	3	0	11.9
24	5	1	0	4	0	21.8
24	5	1	0	5	0	22
24	5	2	0	1	0	46
25	1	1	0	1	1	969
25	1	1	0	2	1	172
25	1	1	0	3	1	236
25	1	1	0	4	1	275
25	1	1	0	5	1	286
25	1	2	0	1	1	703
25	1	3	0	1	1	207
25	2	1	0	1	0	59.7
25	2	1	0	2	0	7.9
25	2	1	0	3	0	9.9
25	2	1	0	4	0	19.8
25	2	1	0	5	0	22.1
25	2	2	0	1	0	41.1
25	2	3	0	1	0	14.4
25	4	1	0	1	1	1183
25	4	1	0	2	1	148
25	4	1	0	3	1	311
25	4	1	0	4	1	430
25	4	1	0	5	1	294
25	4	2	0	1	1	898
25	5	1	0	1	0	70.4
25	5	1	0	2	0	6.3
25	5	1	0	3	0	12.9
25	5	1	0	4	0	28.6
25	5	1	0	5	0	22.6
25	5	2	0	1	0	50.5
26	1	1	0	1	1	961
26	1	1	0	2	1	176
26	1	1	0	3	1	251
26	1	1	0	4	1	258
26	1	1	0	5	1	276
26	1	2	0	1	1	673
26	1	3	0	1	1	225
26	2	1	0	1	0	58.8
26	2	1	0	2	0	8.3
26	2	1	0	3	0	11.7
26	2	1	0	4	0	18.6
26	2	1	0	5	0	20.2
26	2	2	0	1	0	40.2
26	2	3	0	1	0	14.5
26	4	1	0	1	1	1226
26	4	1	0	2	1	226
26	4	1	0	3	1	268
26	4	1	0	4	1	444
26	4	1	0	5	1	288
26	4	2	0	1	1	948
26	5	1	0	1	0	74.1
26	5	1	0	2	0	10
26	5	1	0	3	0	10.5
26	5	1	0	4	0	32.1
26	5	1	0	5	0	21.6
26	5	2	0	1	0	54.8
27	1	1	0	1	1	1000
27	1	1	0	2	1	201
27	1	1	0	3	1	229
27	1	1	0	4	1	282
27	1	1	0	5	1	288
27	1	2	0	1	1	699
27	1	3	0	1	1	242
27	2	1	0	1	0	92.7
27	2	1	0	2	0	16.9
27	2	1	0	3	0	19.9
27	2	1	0	4	0	28
27	2	1	0	5	0	27.9
27	2	2	0	1	0	64.8
27	2	3	0	1	0	21.6
27	4	1	0	1	1	1312
27	4	1	0	2	1	227
27	4	1	0	3	1	314
27	4	1	0	4	1	428
27	4	1	0	5	1	343
27	4	2	0	1	1	957
27	5	1	0	1	0	104.2
27	5	1	0	2	0	15.5
27	5	1	0	3	0	20.4
27	5	1	0	4	0	38.9
27	5	1	0	5	0	29.4
27	5	2	0	1	0	77.8
28	1	1	0	1	1	1002
28	1	1	0	2	1	205
28	1	1	0	3	1	213
28	1	1	0	4	1	292
28	1	1	0	5	1	292
28	1	2	0	1	1	687
28	1	3	0	1	1	246
28	2	1	0	1	0	94
28	2	1	0	2	0	20.5
28	2	1	0	3	0	21.4
28	2	1	0	4	0	26.3
28	2	1	0	5	0	25.8
28	2	2	0	1	0	65.8
28	2	3	0	1	0	21.7
28	4	1	0	1	1	1166
28	4	1	0	2	1	228
28	4	1	0	3	1	245
28	4	1	0	4	1	415
28	4	1	0	5	1	278
28	4	2	0	1	1	879
28	5	1	0	1	0	112.8
28	5	1	0	2	0	23.6
28	5	1	0	3	0	25.4
28	5	1	0	4	0	38.1
28	5	1	0	5	0	25.7
28	5	2	0	1	0	85.5
29	1	1	0	1	1	1027
29	1	1	0	2	1	219
29	1	1	0	3	1	222
29	1	1	0	4	1	290
29	1	1	0	5	1	296
29	1	2	0	1	1	706
29	1	3	0	1	1	255
