date	state	hpi	year	month	type
6/1/1975	WY	34.21260786	1975	6	State
6/1/1975	US.NSA	24.51532489	1975	6	State
6/1/1975	US.SA	24.3009139	1975	6	State
7/1/1975	AK	37.85443385	1975	7	State
7/1/1975	AL	36.56111731	1975	7	State
7/1/1975	AR	38.32073602	1975	7	State
7/1/1975	AZ	30.06000781	1975	7	State
7/1/1975	CA	16.72682855	1975	7	State
7/1/1975	CO	20.73659938	1975	7	State
7/1/1975	CT	25.66133313	1975	7	State
7/1/1975	DC	19.58741388	1975	7	State
7/1/1975	DE	28.14545154	1975	7	State
7/1/1975	FL	33.60220605	1975	7	State
7/1/1975	GA	30.5765067	1975	7	State
7/1/1975	HI	27.06512775	1975	7	State
7/1/1975	IA	34.79880591	1975	7	State
7/1/1975	ID	31.94742268	1975	7	State
7/1/1975	IL	26.72929592	1975	7	State
7/1/1975	IN	33.68894034	1975	7	State
7/1/1975	KS	35.5169497	1975	7	State
7/1/1975	KY	32.51164127	1975	7	State
7/1/1975	LA	35.09838125	1975	7	State
7/1/1975	MA	15.69046978	1975	7	State
7/1/1975	MD	27.32096844	1975	7	State
7/1/1975	ME	28.30431265	1975	7	State
7/1/1975	MI	25.26371016	1975	7	State
7/1/1975	MN	26.82131015	1975	7	State
7/1/1975	MO	32.19363468	1975	7	State
7/1/1975	MS	41.65180212	1975	7	State
7/1/1975	MT	28.79153114	1975	7	State
7/1/1975	NC	29.38402869	1975	7	State
7/1/1975	ND	40.9451756	1975	7	State
7/1/1975	NE	31.07624178	1975	7	State
7/1/1975	NH	23.30993108	1975	7	State
7/1/1975	NJ	22.86106448	1975	7	State
7/1/1975	NM	29.57251938	1975	7	State
7/1/1975	NV	29.95932824	1975	7	State
7/1/1975	NY	23.80981576	1975	7	State
7/1/1975	OH	31.47151727	1975	7	State
7/1/1975	OK	37.8941403	1975	7	State
7/1/1975	OR	22.22083804	1975	7	State
7/1/1975	PA	30.24838263	1975	7	State
7/1/1975	RI	22.37058059	1975	7	State
7/1/1975	SC	32.13897726	1975	7	State
7/1/1975	SD	35.75583941	1975	7	State
7/1/1975	TN	32.93064774	1975	7	State
7/1/1975	TX	33.98835642	1975	7	State
7/1/1975	UT	25.64630151	1975	7	State
7/1/1975	VA	29.00576765	1975	7	State
7/1/1975	VT	27.78696881	1975	7	State
7/1/1975	WA	18.16262846	1975	7	State
7/1/1975	WI	29.94474548	1975	7	State
7/1/1975	WV	47.56447148	1975	7	State
7/1/1975	WY	34.63837598	1975	7	State
7/1/1975	US.NSA	24.57840185	1975	7	State
7/1/1975	US.SA	24.33806324	1975	7	State
8/1/1975	AK	38.43644796	1975	8	State
8/1/1975	AL	36.36841493	1975	8	State
8/1/1975	AR	38.4535213	1975	8	State
8/1/1975	AZ	29.60583741	1975	8	State
8/1/1975	CA	16.94657797	1975	8	State
8/1/1975	CO	20.73327657	1975	8	State
8/1/1975	CT	25.6526798	1975	8	State
8/1/1975	DC	19.92074755	1975	8	State
8/1/1975	DE	28.35052767	1975	8	State
8/1/1975	FL	33.01027871	1975	8	State
8/1/1975	GA	30.31540716	1975	8	State
8/1/1975	HI	27.15634352	1975	8	State
8/1/1975	IA	34.89561932	1975	8	State
8/1/1975	ID	32.01363842	1975	8	State
8/1/1975	IL	26.86510629	1975	8	State
8/1/1975	IN	33.41774275	1975	8	State
8/1/1975	KS	35.67737789	1975	8	State
8/1/1975	KY	32.89735873	1975	8	State
8/1/1975	LA	35.33054094	1975	8	State
8/1/1975	MA	15.77564585	1975	8	State
8/1/1975	MD	27.53605572	1975	8	State
8/1/1975	ME	28.51821128	1975	8	State
8/1/1975	MI	25.35038849	1975	8	State
8/1/1975	MN	27.1478882	1975	8	State
8/1/1975	MO	31.64193802	1975	8	State
8/1/1975	MS	41.53671611	1975	8	State
8/1/1975	MT	28.96500959	1975	8	State
8/1/1975	NC	29.54721102	1975	8	State
8/1/1975	ND	41.53474102	1975	8	State
8/1/1975	NE	31.06115395	1975	8	State
8/1/1975	NH	23.2577864	1975	8	State
8/1/1975	NJ	23.04981557	1975	8	State
8/1/1975	NM	29.68577593	1975	8	State
8/1/1975	NV	30.24431438	1975	8	State
8/1/1975	NY	23.93448647	1975	8	State
8/1/1975	OH	31.56190309	1975	8	State
8/1/1975	OK	38.02924167	1975	8	State
8/1/1975	OR	22.46000793	1975	8	State
8/1/1975	PA	30.14412566	1975	8	State
8/1/1975	RI	22.55789428	1975	8	State
8/1/1975	SC	32.36548571	1975	8	State
8/1/1975	SD	35.63239438	1975	8	State
8/1/1975	TN	33.1006378	1975	8	State
8/1/1975	TX	33.97014796	1975	8	State
8/1/1975	UT	25.53733342	1975	8	State
8/1/1975	VA	29.20000087	1975	8	State
8/1/1975	VT	27.89117807	1975	8	State
8/1/1975	WA	18.25722239	1975	8	State
8/1/1975	WI	30.08733211	1975	8	State
8/1/1975	WV	48.31343438	1975	8	State
8/1/1975	WY	35.02107282	1975	8	State
8/1/1975	US.NSA	24.67676473	1975	8	State
8/1/1975	US.SA	24.44785147	1975	8	State
9/1/1975	AK	38.94344593	1975	9	State
9/1/1975	AL	36.13191758	1975	9	State
9/1/1975	AR	38.47256566	1975	9	State
9/1/1975	AZ	29.12640612	1975	9	State
9/1/1975	CA	17.18907808	1975	9	State
9/1/1975	CO	20.66006834	1975	9	State
9/1/1975	CT	25.69745328	1975	9	State
9/1/1975	DC	20.21139056	1975	9	State
9/1/1975	DE	28.51932983	1975	9	State
9/1/1975	FL	32.87538007	1975	9	State
9/1/1975	GA	29.95420564	1975	9	State
9/1/1975	HI	27.21233529	1975	9	State
9/1/1975	IA	34.9453051	1975	9	State
9/1/1975	ID	32.11690029	1975	9	State
9/1/1975	IL	26.97731136	1975	9	State
9/1/1975	IN	33.15620936	1975	9	State
9/1/1975	KS	35.78791265	1975	9	State
9/1/1975	KY	33.16035453	1975	9	State
9/1/1975	LA	35.56720142	1975	9	State
9/1/1975	MA	15.84422707	1975	9	State
9/1/1975	MD	27.69097943	1975	9	State
9/1/1975	ME	28.76228934	1975	9	State
9/1/1975	MI	25.41297119	1975	9	State
9/1/1975	MN	27.40636167	1975	9	State
9/1/1975	MO	31.36933927	1975	9	State
9/1/1975	MS	41.40184122	1975	9	State
9/1/1975	MT	29.10273077	1975	9	State
9/1/1975	NC	29.73082027	1975	9	State
9/1/1975	ND	42.19143229	1975	9	State
9/1/1975	NE	31.14813623	1975	9	State
9/1/1975	NH	23.22916372	1975	9	State
9/1/1975	NJ	23.08328339	1975	9	State
9/1/1975	NM	29.72171634	1975	9	State
9/1/1975	NV	30.545673	1975	9	State
9/1/1975	NY	23.95512265	1975	9	State
9/1/1975	OH	31.59801805	1975	9	State
9/1/1975	OK	38.25347638	1975	9	State
9/1/1975	OR	22.61794078	1975	9	State
9/1/1975	PA	29.68729268	1975	9	State
9/1/1975	RI	22.68019884	1975	9	State
9/1/1975	SC	32.53049988	1975	9	State
9/1/1975	SD	35.53576431	1975	9	State
9/1/1975	TN	33.32963729	1975	9	State
9/1/1975	TX	34.05545905	1975	9	State
9/1/1975	UT	25.4883924	1975	9	State
9/1/1975	VA	29.2713837	1975	9	State
9/1/1975	VT	27.95753568	1975	9	State
9/1/1975	WA	18.27637132	1975	9	State
9/1/1975	WI	30.2763294	1975	9	State
9/1/1975	WV	48.82003332	1975	9	State
9/1/1975	WY	35.34994007	1975	9	State
9/1/1975	US.NSA	24.7658152	1975	9	State
9/1/1975	US.SA	24.55599593	1975	9	State
10/1/1975	AK	39.40458232	1975	10	State
10/1/1975	AL	36.00842496	1975	10	State
10/1/1975	AR	38.44112941	1975	10	State
10/1/1975	AZ	28.85715532	1975	10	State
10/1/1975	CA	17.41164562	1975	10	State
10/1/1975	CO	20.63069703	1975	10	State
10/1/1975	CT	25.80652228	1975	10	State
10/1/1975	DC	20.43520897	1975	10	State
10/1/1975	DE	28.62788308	1975	10	State
10/1/1975	FL	33.02279442	1975	10	State
10/1/1975	GA	29.66103219	1975	10	State
10/1/1975	HI	27.2493281	1975	10	State
10/1/1975	IA	35.01486077	1975	10	State
10/1/1975	ID	32.33627956	1975	10	State
10/1/1975	IL	27.11979894	1975	10	State
10/1/1975	IN	33.1125242	1975	10	State
10/1/1975	KS	35.83352532	1975	10	State
10/1/1975	KY	33.30873771	1975	10	State
10/1/1975	LA	35.77148811	1975	10	State
10/1/1975	MA	15.87928379	1975	10	State
10/1/1975	MD	27.82694287	1975	10	State
10/1/1975	ME	28.94828096	1975	10	State
10/1/1975	MI	25.29957776	1975	10	State
10/1/1975	MN	27.51190837	1975	10	State
10/1/1975	MO	31.18315466	1975	10	State
10/1/1975	MS	41.38017814	1975	10	State
10/1/1975	MT	29.22812365	1975	10	State
10/1/1975	NC	29.88180123	1975	10	State
10/1/1975	ND	42.84700223	1975	10	State
10/1/1975	NE	31.36175128	1975	10	State
10/1/1975	NH	23.26596032	1975	10	State
10/1/1975	NJ	23.00959508	1975	10	State
10/1/1975	NM	29.71504372	1975	10	State
10/1/1975	NV	30.85706891	1975	10	State
10/1/1975	NY	23.96998749	1975	10	State
10/1/1975	OH	31.71307452	1975	10	State
10/1/1975	OK	38.6027906	1975	10	State
10/1/1975	OR	22.7165015	1975	10	State
10/1/1975	PA	29.14384311	1975	10	State
10/1/1975	RI	22.73224995	1975	10	State
10/1/1975	SC	32.56285835	1975	10	State
10/1/1975	SD	35.47471793	1975	10	State
10/1/1975	TN	33.6761997	1975	10	State
10/1/1975	TX	34.16431619	1975	10	State
10/1/1975	UT	25.62079601	1975	10	State
10/1/1975	VA	29.22929105	1975	10	State
10/1/1975	VT	28.0027212	1975	10	State
10/1/1975	WA	18.30016654	1975	10	State
10/1/1975	WI	30.50612606	1975	10	State
10/1/1975	WV	49.05083925	1975	10	State
10/1/1975	WY	35.60112612	1975	10	State
10/1/1975	US.NSA	24.85296895	1975	10	State
10/1/1975	US.SA	24.68005872	1975	10	State
11/1/1975	AK	39.81614355	1975	11	State
11/1/1975	AL	36.09030292	1975	11	State
11/1/1975	AR	38.48907833	1975	11	State
11/1/1975	AZ	28.96893862	1975	11	State
