date	state	pcdebt
3/1/2010	NV	76.15286267
3/1/2010	NY	50.68417415
3/1/2010	OH	36.44439799
3/1/2010	PA	39.60366755
3/1/2010	TX	36.25658155
3/1/2010	ALL	50.54394527
6/1/2010	AZ	55.61135371
6/1/2010	CA	78.31925493
6/1/2010	FL	50.54276746
6/1/2010	IL	49.96938151
6/1/2010	MI	38.5835766
6/1/2010	NJ	62.32626189
6/1/2010	NV	73.39255267
6/1/2010	NY	50.5887242
6/1/2010	OH	36.23718887
6/1/2010	PA	39.13258249
6/1/2010	TX	36.12760903
6/1/2010	ALL	49.86826227
9/1/2010	AZ	54.1693882
9/1/2010	CA	76.84180159
9/1/2010	FL	49.37770208
9/1/2010	IL	49.01419961
9/1/2010	MI	37.96343321
9/1/2010	NJ	63.01050175
9/1/2010	NV	68.822045
9/1/2010	NY	50.08307948
9/1/2010	OH	35.90818572
9/1/2010	PA	39.36107277
9/1/2010	TX	35.99369618
9/1/2010	ALL	49.38047194
12/1/2010	AZ	52.90308655
12/1/2010	CA	74.73858205
12/1/2010	FL	48.16302728
12/1/2010	IL	48.05128727
12/1/2010	MI	37.31664138
12/1/2010	NJ	61.8501307
12/1/2010	NV	65.66742724
12/1/2010	NY	49.69771915
12/1/2010	OH	35.50913838
12/1/2010	PA	39.20856245
12/1/2010	TX	35.54934302
12/1/2010	ALL	48.57850273
3/1/2011	AZ	52.93612903
3/1/2011	CA	75.27044973
3/1/2011	FL	47.9169617
3/1/2011	IL	48.37433916
3/1/2011	MI	37.25294192
3/1/2011	NJ	62.95625724
3/1/2011	NV	64.85271889
3/1/2011	NY	49.01710282
3/1/2011	OH	35.49003236
3/1/2011	PA	39.07609229
3/1/2011	TX	35.59375871
3/1/2011	ALL	48.6398358
6/1/2011	AZ	51.98354266
6/1/2011	CA	74.18910682
6/1/2011	FL	47.59917435
6/1/2011	IL	48.54761663
6/1/2011	MI	37.31639489
6/1/2011	NJ	61.64860569
6/1/2011	NV	61.05081867
6/1/2011	NY	49.54336332
6/1/2011	OH	35.67632347
6/1/2011	PA	39.13794796
6/1/2011	TX	35.59993334
6/1/2011	ALL	48.49866861
9/1/2011	AZ	51.36442516
9/1/2011	CA	72.97452458
9/1/2011	FL	47.3922051
9/1/2011	IL	48.38316046
9/1/2011	MI	36.80937302
9/1/2011	NJ	62.97804275
9/1/2011	NV	59.04614313
9/1/2011	NY	49.68691942
9/1/2011	OH	35.61324697
9/1/2011	PA	38.88034693
9/1/2011	TX	35.69122379
9/1/2011	ALL	48.28594262
12/1/2011	AZ	50.03459459
12/1/2011	CA	71.63507535
12/1/2011	FL	46.79412526
12/1/2011	IL	47.82648682
12/1/2011	MI	36.85551331
12/1/2011	NJ	62.55381035
12/1/2011	NV	56.85987766
12/1/2011	NY	49.56939453
12/1/2011	OH	35.43181341
12/1/2011	PA	39.16024501
12/1/2011	TX	35.47051303
12/1/2011	ALL	47.82945769
3/1/2012	AZ	49.69495166
3/1/2012	CA	70.92137991
3/1/2012	FL	46.22321198
3/1/2012	IL	47.80537877
3/1/2012	MI	36.30183893
3/1/2012	NJ	62.25759346
3/1/2012	NV	57.07316021
3/1/2012	NY	49.43589744
3/1/2012	OH	35.19886064
3/1/2012	PA	39.07982152
3/1/2012	TX	35.11700295
3/1/2012	ALL	47.5130813
6/1/2012	AZ	48.28
6/1/2012	CA	69.65
6/1/2012	FL	45.44
6/1/2012	IL	47.54
6/1/2012	MI	36.12
6/1/2012	NJ	62.81
6/1/2012	NV	56.63
6/1/2012	NY	49.49
6/1/2012	OH	34.91
6/1/2012	PA	39.14
6/1/2012	TX	35.26
6/1/2012	ALL	47.35984
9/1/2012	AZ	46.99
9/1/2012	CA	68.89
9/1/2012	FL	45.5
9/1/2012	IL	46.9
9/1/2012	MI	36.29
9/1/2012	NJ	60.77
9/1/2012	NV	54.11
9/1/2012	NY	48.91
9/1/2012	OH	34.99
9/1/2012	PA	38.62
9/1/2012	TX	35.31
9/1/2012	ALL	47.00527
12/1/2012	AZ	46.91
12/1/2012	CA	68.41
12/1/2012	FL	44.43
12/1/2012	IL	47.08
12/1/2012	MI	36.38
12/1/2012	NJ	61.15
12/1/2012	NV	52.66
12/1/2012	NY	49.37
12/1/2012	OH	34.56
12/1/2012	PA	39.13
12/1/2012	TX	35.41
12/1/2012	ALL	47.05861
3/1/2013	AZ	47
3/1/2013	CA	67.71
3/1/2013	FL	43.2
3/1/2013	IL	46.27
3/1/2013	MI	36
3/1/2013	NJ	59.25
3/1/2013	NV	51.19
3/1/2013	NY	48.87
3/1/2013	OH	34.08
3/1/2013	PA	38.72
3/1/2013	TX	35.44
3/1/2013	ALL	46.272
6/1/2013	AZ	45.59
6/1/2013	CA	66.93
6/1/2013	FL	42.41
6/1/2013	IL	45.99
6/1/2013	MI	35.89
6/1/2013	NJ	58.84
6/1/2013	NV	49.35
6/1/2013	NY	47.17
6/1/2013	OH	33.3
6/1/2013	PA	38.72
6/1/2013	TX	35.43
6/1/2013	ALL	45.85
9/1/2013	AZ	44.47
9/1/2013	CA	63.8
9/1/2013	FL	40.45
9/1/2013	IL	44.57
9/1/2013	MI	34.26
9/1/2013	NJ	56.64
9/1/2013	NV	46.55
9/1/2013	NY	47.25
9/1/2013	OH	32.24
9/1/2013	PA	37.77
9/1/2013	TX	34.37
9/1/2013	ALL	44.53398
12/1/2013	AZ	45.54
12/1/2013	CA	64.94
12/1/2013	FL	40.78
12/1/2013	IL	44.78
12/1/2013	MI	34.85
12/1/2013	NJ	57.5
12/1/2013	NV	46.67
12/1/2013	NY	47.83
12/1/2013	OH	33.48
12/1/2013	PA	38.1
12/1/2013	TX	35.51
12/1/2013	ALL	45.35888
3/1/2014	AZ	45.56
3/1/2014	CA	66.57
3/1/2014	FL	40.65
3/1/2014	IL	44.75
3/1/2014	MI	34.74
3/1/2014	NJ	58.61
3/1/2014	NV	46.61
3/1/2014	NY	47.66
3/1/2014	OH	33.54
3/1/2014	PA	38.23
3/1/2014	TX	35.6
3/1/2014	ALL	45.61827
6/1/2014	AZ	45.95
6/1/2014	CA	65.99
6/1/2014	FL	40.1
6/1/2014	IL	44.44
6/1/2014	MI	34.21
6/1/2014	NJ	57.83
6/1/2014	NV	46.73
6/1/2014	NY	47.67
6/1/2014	OH	33.56
6/1/2014	PA	38.32
6/1/2014	TX	35.71
6/1/2014	ALL	45.45873
9/1/2014	AZ	47.24
9/1/2014	CA	65.78
9/1/2014	FL	39.95
9/1/2014	IL	44.64
9/1/2014	MI	34.47
9/1/2014	NJ	57.72
9/1/2014	NV	46.36
9/1/2014	NY	47.76
9/1/2014	OH	33.86
9/1/2014	PA	38.34
9/1/2014	TX	36.12
9/1/2014	ALL	45.60844
12/1/2014	AZ	46.69
12/1/2014	CA	65.45
12/1/2014	FL	40.03
12/1/2014	IL	44.91
12/1/2014	MI	34.56
12/1/2014	NJ	58.4
12/1/2014	NV	45.65
12/1/2014	NY	48.1
12/1/2014	OH	34.28
12/1/2014	PA	39.04
12/1/2014	TX	36.54
12/1/2014	ALL	45.78989
3/1/2015	AZ	46.19
3/1/2015	CA	65.38
3/1/2015	FL	40.12
3/1/2015	IL	44.91
3/1/2015	MI	34.55
3/1/2015	NJ	58.07
3/1/2015	NV	46.18
3/1/2015	NY	47.93
3/1/2015	OH	34.56
3/1/2015	PA	38.94
3/1/2015	TX	36.7
3/1/2015	ALL	45.78412
6/1/2015	AZ	46.72
6/1/2015	CA	65.04
6/1/2015	FL	39.94
6/1/2015	IL	44.28
6/1/2015	MI	34.64
6/1/2015	NJ	56.67
6/1/2015	NV	46.55
6/1/2015	NY	47.56
6/1/2015	OH	34.38
6/1/2015	PA	38.68
6/1/2015	TX	36.78
6/1/2015	ALL	45.51948
9/1/2015	AZ	47.32
9/1/2015	CA	65.85
9/1/2015	FL	40.52
9/1/2015	IL	44.53
9/1/2015	MI	35.25
9/1/2015	NJ	57.18
9/1/2015	NV	46.81
9/1/2015	NY	48.11
9/1/2015	OH	34.8
9/1/2015	PA	39.31
9/1/2015	TX	37.93
9/1/2015	ALL	46.15043
12/1/2015	AZ	47.78
12/1/2015	CA	65.51
12/1/2015	FL	40.19
12/1/2015	IL	44.69
12/1/2015	MI	35.46
12/1/2015	NJ	55.96
