date	type	debt	rv
3/1/2014	Auto Loan	0.875	136.5054602
3/1/2014	Credit Card	0.659	95.78488372
3/1/2014	Student Loan	1.111	460.9958506
3/1/2014	Other	0.314	65.69037657
3/1/2014	Total	11.65	161.1118794
6/1/2014	Mortgage	8.096	163.8203157
6/1/2014	HE Revolving	0.521	215.2892562
6/1/2014	Auto Loan	0.905	141.1856474
6/1/2014	Credit Card	0.669	97.23837209
6/1/2014	Student Loan	1.118	463.9004149
6/1/2014	Other	0.323	67.57322176
6/1/2014	Total	11.632	160.8629512
9/1/2014	Mortgage	8.131	164.528531
9/1/2014	HE Revolving	0.512	211.5702479
9/1/2014	Auto Loan	0.934	145.7098284
9/1/2014	Credit Card	0.68	98.8372093
9/1/2014	Student Loan	1.126	467.219917
9/1/2014	Other	0.327	68.41004184
9/1/2014	Total	11.71	161.9416402
12/1/2014	Mortgage	8.17	165.3176851
12/1/2014	HE Revolving	0.51	210.7438017
12/1/2014	Auto Loan	0.955	148.9859594
12/1/2014	Credit Card	0.7	101.744186
12/1/2014	Student Loan	1.157	480.0829876
12/1/2014	Other	0.335	70.08368201
12/1/2014	Total	11.827	163.5596736
3/1/2015	Mortgage	8.171	165.3379199
3/1/2015	HE Revolving	0.51	210.7438017
3/1/2015	Auto Loan	0.968	151.0140406
3/1/2015	Credit Card	0.684	99.41860465
3/1/2015	Student Loan	1.189	493.3609959
3/1/2015	Other	0.329	68.82845188
3/1/2015	Total	11.851	163.8915779
6/1/2015	Mortgage	8.116	164.2250101
6/1/2015	HE Revolving	0.499	206.1983471
6/1/2015	Auto Loan	1.006	156.9422777
6/1/2015	Credit Card	0.703	102.1802326
6/1/2015	Student Loan	1.19	493.7759336
6/1/2015	Other	0.339	70.92050209
6/1/2015	Total	11.853	163.9192366
9/1/2015	Mortgage	8.26	167.1388102
9/1/2015	HE Revolving	0.492	203.3057851
9/1/2015	Auto Loan	1.045	163.0265211
9/1/2015	Credit Card	0.714	103.7790698
9/1/2015	Student Loan	1.203	499.1701245
9/1/2015	Other	0.351	73.43096234
9/1/2015	Total	12.065	166.8510579
12/1/2015	Mortgage	8.249	166.9162282
12/1/2015	HE Revolving	0.487	201.2396694
12/1/2015	Auto Loan	1.064	165.9906396
12/1/2015	Credit Card	0.733	106.5406977
12/1/2015	Student Loan	1.232	511.2033195
12/1/2015	Other	0.351	73.43096234
12/1/2015	Total	12.116	167.5563546
3/1/2016	Mortgage	8.369	169.344395
3/1/2016	HE Revolving	0.485	200.4132231
3/1/2016	Auto Loan	1.071	167.0826833
3/1/2016	Credit Card	0.712	103.4883721
3/1/2016	Student Loan	1.261	523.2365145
3/1/2016	Other	0.354	74.05857741
3/1/2016	Total	12.252	169.4371456
6/1/2016	Mortgage	8.362	169.2027519
6/1/2016	HE Revolving	0.478	197.5206612
6/1/2016	Auto Loan	1.103	172.074883
6/1/2016	Credit Card	0.729	105.9593023
6/1/2016	Student Loan	1.259	522.406639
6/1/2016	Other	0.356	74.47698745
6/1/2016	Total	12.287	169.9211727
