cbsa.code	cbsa.name
24580	"Green Bay, WI Metro Area"
24620	"Greeneville, TN Micro Area"
24640	"Greenfield Town, MA Micro Area"
24660	"Greensboro-High Point, NC Metro Area"
24700	"Greensburg, IN Micro Area"
24740	"Greenville, MS Micro Area"
24780	"Greenville, NC Metro Area"
24820	"Greenville, OH Micro Area"
24860	"Greenville-Anderson-Mauldin, SC Metro Area"
24900	"Greenwood, MS Micro Area"
24940	"Greenwood, SC Micro Area"
24980	"Grenada, MS Micro Area"
25020	"Guayama, PR Metro Area"
25060	"Gulfport-Biloxi-Pascagoula, MS Metro Area"
25100	"Guymon, OK Micro Area"
25180	"Hagerstown-Martinsburg, MD-WV Metro Area"
25200	"Hailey, ID Micro Area"
25220	"Hammond, LA Metro Area"
25260	"Hanford-Corcoran, CA Metro Area"
25300	"Hannibal, MO Micro Area"
25420	"Harrisburg-Carlisle, PA Metro Area"
25460	"Harrison, AR Micro Area"
25500	"Harrisonburg, VA Metro Area"
25540	"Hartford-West Hartford-East Hartford, CT Metro Area"
25580	"Hastings, NE Micro Area"
25620	"Hattiesburg, MS Metro Area"
25700	"Hays, KS Micro Area"
25720	"Heber, UT Micro Area"
25740	"Helena, MT Micro Area"
25760	"Helena-West Helena, AR Micro Area"
25780	"Henderson, NC Micro Area"
25820	"Hereford, TX Micro Area"
25840	"Hermiston-Pendleton, OR Micro Area"
25860	"Hickory-Lenoir-Morganton, NC Metro Area"
25880	"Hillsdale, MI Micro Area"
25900	"Hilo, HI Micro Area"
25940	"Hilton Head Island-Bluffton-Beaufort, SC Metro Area"
25980	"Hinesville, GA Metro Area"
26020	"Hobbs, NM Micro Area"
26090	"Holland, MI Micro Area"
26140	"Homosassa Springs, FL Metro Area"
26220	"Hood River, OR Micro Area"
26300	"Hot Springs, AR Metro Area"
26340	"Houghton, MI Micro Area"
26380	"Houma-Thibodaux, LA Metro Area"
26420	"Houston-The Woodlands-Sugar Land, TX Metro Area"
26460	"Hudson, NY Micro Area"
26500	"Huntingdon, PA Micro Area"
26540	"Huntington, IN Micro Area"
