date	type	debt
3/1/2015	Auto Loan	0.968
3/1/2015	Credit Card	0.684
3/1/2015	Student Loan	1.189
3/1/2015	Other	0.329
3/1/2015	Total	11.851
6/1/2015	Mortgage	8.116
6/1/2015	HE Revolving	0.499
6/1/2015	Auto Loan	1.006
6/1/2015	Credit Card	0.703
6/1/2015	Student Loan	1.19
6/1/2015	Other	0.339
6/1/2015	Total	11.853
9/1/2015	Mortgage	8.26
9/1/2015	HE Revolving	0.492
9/1/2015	Auto Loan	1.045
9/1/2015	Credit Card	0.714
9/1/2015	Student Loan	1.203
9/1/2015	Other	0.351
9/1/2015	Total	12.065
12/1/2015	Mortgage	8.249
12/1/2015	HE Revolving	0.487
12/1/2015	Auto Loan	1.064
12/1/2015	Credit Card	0.733
12/1/2015	Student Loan	1.232
12/1/2015	Other	0.351
12/1/2015	Total	12.116
3/1/2016	Mortgage	8.369
3/1/2016	HE Revolving	0.485
3/1/2016	Auto Loan	1.071
3/1/2016	Credit Card	0.712
3/1/2016	Student Loan	1.261
3/1/2016	Other	0.354
3/1/2016	Total	12.252
6/1/2016	Mortgage	8.362
6/1/2016	HE Revolving	0.478
6/1/2016	Auto Loan	1.103
6/1/2016	Credit Card	0.729
6/1/2016	Student Loan	1.259
6/1/2016	Other	0.356
6/1/2016	Total	12.287
9/1/2016	Mortgage	8.35
9/1/2016	HE Revolving	0.472
9/1/2016	Auto Loan	1.135
9/1/2016	Credit Card	0.747
9/1/2016	Student Loan	1.279
9/1/2016	Other	0.367
9/1/2016	Total	12.35
12/1/2016	Mortgage	8.48
12/1/2016	HE Revolving	0.473
12/1/2016	Auto Loan	1.157
12/1/2016	Credit Card	0.779
12/1/2016	Student Loan	1.31
12/1/2016	Other	0.377
12/1/2016	Total	12.576
3/1/2017	Mortgage	8.627
3/1/2017	HE Revolving	0.456
3/1/2017	Auto Loan	1.167
3/1/2017	Credit Card	0.764
3/1/2017	Student Loan	1.344
3/1/2017	Other	0.367
3/1/2017	Total	12.725
