cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
40100	"Rio Grande City, TX"	Micropolitan Statistical Area	Rio Grande City	48	62168	TX	Rio Grande City TX	63795
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Chino	06	13210	CA	Chino CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Corona	06	16350	CA	Corona CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Ontario	06	53896	CA	Ontario CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Redlands	06	59962	CA	Redlands CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Riverside	06	62000	CA	Riverside CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	San Bernardino	06	65000	CA	San Bernardino CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Temecula	06	78120	CA	Temecula CA	4489159
40140	"Riverside-San Bernardino-Ontario, CA"	Metropolitan Statistical Area	Victorville	06	82590	CA	Victorville CA	4489159
40180	"Riverton, WY"	Micropolitan Statistical Area	Riverton	56	66220	WY	Riverton WY	40315
40220	"Roanoke, VA"	Metropolitan Statistical Area	Roanoke	51	68000	VA	Roanoke VA	314560
40260	"Roanoke Rapids, NC"	Micropolitan Statistical Area	Roanoke Rapids	37	56900	NC	Roanoke Rapids NC	72882
40300	"Rochelle, IL"	Micropolitan Statistical Area	Rochelle	17	64746	IL	Rochelle IL	51659
40340	"Rochester, MN"	Metropolitan Statistical Area	Rochester	27	54880	MN	Rochester MN	213873
40380	"Rochester, NY"	Metropolitan Statistical Area	Rochester	36	63000	NY	Rochester NY	1081954
40420	"Rockford, IL"	Metropolitan Statistical Area	Rockford	17	65000	IL	Rockford IL	340663
40460	"Rockingham, NC"	Micropolitan Statistical Area	Rockingham	37	57260	NC	Rockingham NC	45437
40540	"Rock Springs, WY"	Micropolitan Statistical Area	Rock Springs	56	67235	WY	Rock Springs WY	44626
40580	"Rocky Mount, NC"	Metropolitan Statistical Area	Rocky Mount	37	57500	NC	Rocky Mount NC	148069
40620	"Rolla, MO"	Micropolitan Statistical Area	Rolla	29	62912	MO	Rolla MO	44794
40660	"Rome, GA"	Metropolitan Statistical Area	Rome	13	66668	GA	Rome GA	96504
40700	"Roseburg, OR"	Micropolitan Statistical Area	Roseburg	41	63650	OR	Roseburg OR	107685
40740	"Roswell, NM"	Micropolitan Statistical Area	Roswell	35	64930	NM	Roswell NM	65764
40760	"Ruidoso, NM"	Micropolitan Statistical Area	Ruidoso	35	65210	NM	Ruidoso NM	0
40780	"Russellville, AR"	Micropolitan Statistical Area	Russellville	05	61670	AR	Russellville AR	85103
40820	"Ruston, LA"	Micropolitan Statistical Area	Ruston	22	66655	LA	Ruston LA	47774
40860	"Rutland, VT"	Micropolitan Statistical Area	Rutland	50	61225	VT	Rutland VT	59736
40900	"Sacramento--Roseville--Arden-Arcade, CA"	Metropolitan Statistical Area	Arden-Arcade	06	02553	CA	Arden-Arcade CA	2274194
40900	"Sacramento--Roseville--Arden-Arcade, CA"	Metropolitan Statistical Area	Folsom	06	24638	CA	Folsom CA	2274194
40900	"Sacramento--Roseville--Arden-Arcade, CA"	Metropolitan Statistical Area	Rancho Cordova	06	59444	CA	Rancho Cordova CA	2274194
